category	confidence	name_sim	first_match	coauth_jaccard	ref_jaccard	shared_papers	papers_a	papers_b	total_papers	in_500	name_a	name_b	decision
LIKELY_SAME	0.524	0.923	0.7	0.000	0.024	0	1	1	2	1	Y Wang	Yu Wang	
LIKELY_SAME	0.523	0.933	0.7	0.000	0.000	0	1	1	2	0	Juan Liu	Jun Liu	
LIKELY_SAME	0.523	0.933	0.7	0.000	0.000	0	1	1	2	0	Yu Wang	Yue Wang	
LIKELY_SAME	0.521	0.923	0.7	0.000	0.000	0	1	1	2	0	Ming Wu	Min Wu	
LIKELY_SAME	0.520	0.963	0.0	0.400	0.193	0	4	1	5	3	Ágnes L. Bodor	Agnes L Bodor	
LIKELY_SAME	0.519	0.917	0.7	0.000	0.000	0	1	1	2	0	Ling‐Ling Chen	Linlin Chen	
LIKELY_SAME	0.518	0.643	0.7	0.000	0.450	0	1	2	3	0	Jeong Seuk Kang	Jinyoung Kang	
LIKELY_SAME	0.516	0.690	0.7	0.214	0.000	0	5	2	7	3	Narayanan Kasthuri	N. Kasthuri	
LIKELY_SAME	0.515	0.824	0.7	0.000	0.128	0	1	1	2	0	Yu Wang	Yuhan Wang	
LIKELY_SAME	0.515	0.900	0.7	0.000	0.000	0	1	1	2	1	Yaning Chen	Ying Chen	
LIKELY_SAME	0.515	0.900	0.7	0.000	0.000	0	1	1	2	0	Linlin Chen	Lili Chen	
LIKELY_SAME	0.515	0.900	0.7	0.000	0.000	0	2	1	3	0	Yizhen Jia	Yichen Jia	
LIKELY_SAME	0.515	0.828	0.7	0.053	0.033	0	10	1	11	3	Louis K. Scheffer	Lou Scheffer	
LIKELY_SAME	0.514	0.800	0.7	0.000	0.161	0	5	1	6	5	Réka Albert	R. Albert	
LIKELY_SAME	0.514	0.897	0.7	0.000	0.000	0	1	1	2	0	Martin L. Smith	Marie L. Smith	
LIKELY_SAME	0.514	0.895	0.7	0.000	0.000	0	2	1	3	1	Abhishek Bhattacharya	Abhi Bhattacharya	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	2	Xing Liu	Xingyu Liu	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Yan Zhao	Yifan Zhao	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Wei Wang	Weina Wang	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	2	1	3	0	Liang Wang	Lin Wang	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Qing Yang	Qian Yang	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Guan Yang	Gang Yang	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	6	1	7	1	Alexander L. Cohen	Alexandra O. Cohen	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Huan Zhou	Hang Zhou	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	1	Lei Zhang	Lin Zhang	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Hao Zhang	Hua Zhang	
LIKELY_SAME	0.512	0.889	0.7	0.000	0.000	0	1	1	2	0	Hui Zhang	Hua Zhang	
LIKELY_SAME	0.512	0.667	0.7	0.000	0.368	0	1	4	5	4	Michelle G. Newman	M. E. J. Newman	
LIKELY_SAME	0.512	0.842	0.7	0.000	0.073	0	1	1	2	0	Zhao Chen	Zhang Chen	
LIKELY_SAME	0.511	0.882	0.7	0.000	0.000	0	1	1	2	0	G. Pfurtscheller	Gert Pfurtscheller	
LIKELY_SAME	0.510	0.880	0.7	0.000	0.000	0	1	1	2	0	Xiaoran Yang	Xiaoquan Yang	
LIKELY_SAME	0.510	0.880	0.7	0.000	0.000	0	1	1	2	0	Keelin Murphy	Kevin Murphy	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	1	Lei Wang	Lin Wang	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	0	Yu Wang	Yuan Wang	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	0	CR Yang	Carl Yang	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	1	Yi Chen	Yali Chen	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	1	Yi Chen	Ying Chen	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	1	Xu Zhang	Xi Zhang	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	1	Y. Zhang	Ye Zhang	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	1	Y. Zhang	Yu Zhang	
LIKELY_SAME	0.509	0.875	0.7	0.000	0.000	0	1	1	2	0	Ye Zhang	Yu Zhang	
LIKELY_SAME	0.509	0.778	0.7	0.000	0.161	0	1	1	2	0	Yu Wang	Yongfu Wang	
LIKELY_SAME	0.509	0.621	0.7	0.000	0.423	0	1	4	5	4	Michael Newman	M. E. J. Newman	
LIKELY_SAME	0.507	0.870	0.7	0.000	0.000	0	1	1	2	0	Zhiliang Chen	Zhang Chen	
LIKELY_SAME	0.506	0.818	0.7	0.000	0.075	0	1	1	2	0	Yuxin Zhang	Yueyi Zhang	
LIKELY_SAME	0.505	0.846	0.7	0.000	0.023	0	3	1	4	0	Xiao‐Jing Wang	Xianning Wang	
LIKELY_SAME	0.504	0.824	0.7	0.000	0.057	0	1	1	2	0	Long Wang	Lin Wang	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	6	1	7	1	Yang‐Yu Liu	Yuanyue Liu	
